Name,Type,Category,PP,Power,Accuracy,Battle Effect,In-Depth Effect,Secondary Effect,Detailed Effect,Effect Rate,Is Self Z-Move?,Corresponding Z-Move,Z-Move Item,Z-Move Power,Is Z-Move?,Z-Move Required Pokemon,Z-Move Required Moves,Moves that turn into this,Base Critical Hit Rate,Priority,Target,Pokemon Hit,Physical Contact?,Sound Type?,Punch Move?,Snatchable?,Z-Move?,Defrosts When Used?,Hits opposite side in triples?,Reflected?,Blocked?,Copyable?,Status Effects,Stats Altered,Z-Stats Altered,Ignores
"10,000,000 Volt Thunderbolt",Electric,Special,1,195,0,"The user, Pikachu wearing a cap, powers up a jolt of electricity using its Z-Power and unleashes it. Critical hits land more easily.",,No effect.,,,FALSE,,Electrium Z,,TRUE,Pikachu,Thunderbolt,,50,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Absorb,Grass,Special,25,20,100,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,,User recovers half the damage inflicted.,,,FALSE,Bloom Doom,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Accelerock,Rock,Physical,20,40,100,The user smashes into the target at high speed. This move always goes first.,,Has increased Speed Priority,,,FALSE,Continental Crush,,100,FALSE,,,,6.25,1,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Acid,Poison,Special,30,40,100,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.,,May lower opponent's Special Defense one stage.,,10,FALSE,Acid Downpour,,100,FALSE,,,,6.25,0,Adjacent Foes,All Adjacent Foes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,SpD:-1:Target,,
Acid Armor,Poison,Other,20,0,0,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.",,Raises user's Defense two stages.,Resets all lowered stat modifications,,TRUE,,Poisonium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Def:+2:Target,,
Acid Downpour,Poison,Special,1,1,0,"The user creates a poisonous swamp using its Z-Power and sinks the target into it at full force. The power varies, depending on the original move.",,No effect.,,,FALSE,,Poisonium Z,,TRUE,,,"Acid,Acid Spray,Belch,Clear Smog,Cross Poison,Gunk Shot,Poison Fang,Poison Jab,Poison Sting,Poison Tail,Sludge,Sludge Bomb,Sludge Wave,Smog,Venoshock",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Acid Spray,Poison,Special,20,40,100,The user spits fluid that works to melt the target. This harshly lowers the target's Sp. Def stat.,,Lowers opponent's Special Defense two stages.,,100,FALSE,Acid Downpour,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,SpD:-2:Target,,
Acrobatics,Flying,Physical,15,55,100,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.",,Increases damage by 100% if user is not holding an item.,,,FALSE,Supersonic Skystrike,,100,FALSE,,,,6.25,0,All but self,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
Acupressure,Normal,Other,30,0,0,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",,Raises one of the user's stats randomly by two stages.,Increases Critical Hit Ratio by 1 stage,,TRUE,,Normalium Z,,FALSE,,,,,0,Self or adjacent ally,Self or Ally,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Random:+2:Target,,
Aerial Ace,Flying,Physical,20,60,0,"The user confounds the target with speed, then slashes. This attack never misses.",,Cannot miss.,,,FALSE,Supersonic Skystrike,,120,FALSE,,,,6.25,0,All but self,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
