Name,Left Arm,Left Torso,Center,Right Torso,Right Arm,Head,JJ,Engines,Hardpoints,Torso/Arm,Costs
FLEA (20),,,,,,,,,,,
FLE-15,1 B   1 E,1 AMS   1 E,1 E,1 E,1 B   1 E,,,100-170 STD120,5 2 0,120° / 0° 20° / 60°,
FLE-17,2 E,1 AMS   1 E,1 E,1 E,2 E,,,100-170 STD120,7 0 0,120° / 0° 20° / 60°,
FLE-19,4 B,1 AMS,1 E,1 M (10),4 B,,,100-170 STD120,1 8 1,120° / 0° 20° / 60°,
FLE-20,2 E,1 AMS   1 E,,1 ECM,2 E,,,100-170 STD120,5 0 0,120° / 0° 20° / 60°,
FLE-FA,3 B,1 AMS   1 E,,1 E,3 B,1 E,,100-170 STD120,3 6 0,120° / 0° 20° / 60°,
"ROMEO 5000
Hero",2 E,1 AMS   1 M (10),1 E,1 M (10),2 E,,,100-170 STD120,5 0 2,120° / 0° 20° / 60°,
LOCUST (20),,,,,,,,,,,
LCT-1E,3 E,,,1 AMS,3 E,,,100-190 STD160,6 0 0,120° / 0° 20° / 60°,600 1491242
"LCT-1E(C)
Champion",3 E,,,1 AMS,3 E,,,100-190 XL190,6 0 0,120° / 0° 20° / 60°,760
LCT-1M,1 M (6),,2 E,1 AMS,1 M (6),,,100-190 STD160,2 0 2,130° / 0° 20° / 60°,595 1486254
LCT-1V,2 B,,1 E,1 AMS,2 B,,,100-190 STD160,1 4 0,130° / 0° 20° / 60°,560 1388242
LCT-3M,1 AMS   2 E,,1 E,1 AMS,2 E,,,100-190 STD160,5 0 0,120° / 0° 20° / 60°,715 1777326
LCT-3S,2 M (6x2),,1 E,1 AMS,2 M (6x2),,,100-190 STD160,1 0 4,130° / 0° 20° / 60°,640 1589282
LCT-3V,1 B,,2 E,1 AMS,1 B,,,100-190 STD160,2 2 0,130° / 0° 20° / 60°,595 1478234
"PIRATES' BANE
Hero",,1 ECM   2 E,2 B,1 AMS   2 E,,,,100-190 XL190,4 2 0,120° / 0° 20° / 60°,1500
COMMANDO (25),,,,,,,,,,,
COM-1B,1 E,,1 M (10),1 AMS,2 E,,,100-240 STD150,3 0 1,90° / 40° 20° / 30°,680 1694542
COM-1D,,,"2 M (10, 5)",1 AMS,2 E,,,100-240 STD150,2 0 2,90° / 40° 20° / 30°,700 1744526
"COM-1D(C)
Champion",,,"2 M (10, 5)",1 AMS,2 E,,,100-240 STD200,2 0 2,90° / 40° 20° / 30°,885
COM-2D,1 E,1 ECM,1 M (10),1 AMS,2 M (10x2),,,100-210 STD150,1 0 3,90° / 40° 20° / 30°,715 1781542
