Name,Damage,Heat,Cooldown,Range,Max Range,Slots,Tons,Speed,Duration,Ammo/t,DPS,DPH,DPS/T,HPS,Impulse,Health,Costs
C-AC/10,10,2,2.25,540,1080,5,10,1100,,69,4.44,5,0.44,0.89,0.04,10,800000
C-AC/2,2,0.5,0.72,900,1800,3,5,2000,,87,2.78,4,0.56,0.69,0.03,7.5,300000
C-AC/20,20,6,4,360,720,9,12,750,,32,5,3.33,0.42,1.5,0.09,16.5,1200000
C-AC/5,5,1.4,1.66,720,1440,4,7,1300,,70,3.01,3.57,0.43,0.84,0.033,7.5,500000
C-GAUSS RIFLE,15,1,5.00 + 0.75,660,1320,6,12,2000,,10,2.61,15,0.22,0.17,0.05,5,600000
C-HVY MACHINE GUN,0.15,,,100,200,1,0.5,100,,1000,1.5,,3,,0.001,3.5,
C-LB10-X AC,10,2,2.25,540,1080,5,10,1100,,23,4.44,5,0.44,0.89,0.04,10,800000
C-LB2-X AC,2,0.4,0.72,900,1800,3,5,2000,,87,2.78,5,0.56,0.56,0.04,7.5,300000
C-LB20-X AC,20,6,4,360,720,9,12,1100,,8,5,3.33,0.42,1.5,0.04,16.5,1200000
C-LB5-X AC,5,1,1.66,720,1440,4,7,1330,,35,3.01,5,0.43,0.6,0.04,7.5,500000
C-LIGHT MACHINE GUN,0.07,,,250,500,1,0.3,200,,2500,0.7,,2.8,,0.001,3.5,
C-MACHINE GUN,0.1,,,130,260,1,0.3,100,,2000,1,,4,,0.001,3.5,10000
C-ULTRA AC/10,10,3.5,2.5,540,1080,4,10,1100,,69,4,2.86,0.4,1.4,0.04,10,640000
C-ULTRA AC/2,2,0.8,0.72,810,1620,2,5,2000,,87,2.78,2.5,0.56,1.11,0.03,7.5,240000
C-ULTRA AC/20,20,7,4,360,720,8,12,700,,32,5,2.86,0.42,1.75,0.09,16.5,960000
C-ULTRA AC/5,5,1.66,1.66,630,1260,3,7,1300,,70,3.01,3.01,0.43,1,0.033,7.5,400000
