Name,Damage,Heat,Cooldown,Range,Max Range,Slots,Tons,Speed,Ammo/t,DPS,DPH,DPS/T,HPS,Impulse,Health,Costs
C-ATM 12,24,9,5,120 - 270,1100,5,7,220,105,4.8,2.67,0.69,1.8,0.15,10,
C-ATM 3,6,2.5,5,120 - 270,1100,2,1.5,220,105,1.2,2.4,0.8,0.5,0.15,3.5,
C-ATM 6,12,4.5,5,120 - 270,1100,3,3.5,220,105,2.4,2.67,0.69,0.9,0.15,5,
C-ATM 9,18,7,5,120 - 270,1100,4,5,220,105,3.6,2.57,0.72,1.4,0.15,7.5,
C-LRM 10 + ARTEMIS,10,3.7,4,180 - 900,900,2,3.5,190,240,2.5,2.7,0.71,0.93,0.15,7.5,300000
C-LRM 10,10,3.7,4,180 - 900,900,1,2.5,190,240,2.5,2.7,1,0.93,0.15,7.5,200000
C-LRM 15 + ARTEMIS,15,4.65,4.3,180 - 900,900,3,4.5,190,240,3.49,3.23,0.78,1.08,0.15,10,450000
C-LRM 15,15,4.65,4.3,180 - 900,900,2,3.5,190,240,3.49,3.23,1,1.08,0.15,10,350000
C-LRM 20 + ARTEMIS,20,5.6,4.6,180 - 900,900,5,6,190,240,4.35,3.57,0.72,1.22,0.15,12.5,600000
C-LRM 20,20,5.6,4.6,180 - 900,900,4,5,190,240,4.35,3.57,0.87,1.22,0.15,12.5,500000
C-LRM 5 + ARTEMIS,5,2.25,3.5,180 - 900,900,2,2,190,240,1.43,2.22,0.71,0.64,0.15,3.5,160000
C-LRM 5,5,2.25,3.5,180 - 900,900,1,1,190,240,1.43,2.22,1.43,0.64,0.15,3.5,60000
C-SRM 2 + ARTEMIS,4,1.6,2,270,270,2,1.5,400,120,2,2.5,1.33,0.8,0.11,3.5,120000
C-SRM 2,4,1.6,2,270,270,1,0.5,400,120,2,2.5,4,0.8,0.11,3.5,20000
C-SRM 4 + ARTEMIS,8,3,3,270,270,2,2,400,120,2.67,2.67,1.33,1,0.11,3.5,220000
C-SRM 4,8,3,3,270,270,1,1,400,120,2.67,2.67,2.67,1,0.11,3.5,120000
C-SRM 6 + ARTEMIS,12,3.75,3.75,270,270,2,2.5,400,120,3.2,3.2,1.28,1,0.11,7.5,260000
C-SRM 6,12,3.75,3.75,270,270,1,1.5,400,120,3.2,3.2,2.13,1,0.11,7.5,160000
C-STREAK SRM 2,4,1.6,3,360,360,1,1,260,120,1.33,2.5,1.33,0.53,0.04,3.5,30000
C-STREAK SRM 4,8,3,4.5,360,360,1,2,260,120,1.78,2.67,0.89,0.67,0.04,3.5,180000
C-STREAK SRM 6,12,3.75,6,360,360,2,3,260,120,2,3.2,0.67,0.63,0.04,7.5,240000
