Name,Damage,Heat,Cooldown,Range,Max Range,Slots,Tons,Speed,Ammo/t,DPS,DPH,DPS/T,HPS,Impulse,Health,Costs
LRM 10 + ARTEMIS,10,3.6,3.7,180 - 900,900,3,6,190,240,2.7,2.78,0.45,0.97,0.3,10,300000
LRM 10,10,3.6,3.7,180 - 900,900,2,5,190,240,2.7,2.78,0.54,0.97,0.3,10,200000
LRM 15 + ARTEMIS,15,4.5,4,180 - 900,900,4,8,190,240,3.75,3.33,0.47,1.13,0.3,12.5,450000
LRM 15,15,4.5,4,180 - 900,900,3,7,190,240,3.75,3.33,0.54,1.13,0.3,12.5,350000
LRM 20 + ARTEMIS,20,5.4,4.3,180 - 900,900,6,11,190,240,4.65,3.7,0.42,1.26,0.3,15,600000
LRM 20,20,5.4,4.3,180 - 900,900,5,10,190,240,4.65,3.7,0.47,1.26,0.3,15,500000
LRM 5 + ARTEMIS,5,2.2,3.25,180 - 900,900,2,3,190,240,1.54,2.27,0.51,0.68,0.3,7.5,160000
LRM 5,5,2.2,3.25,180 - 900,900,1,2,190,240,1.54,2.27,0.77,0.68,0.3,7.5,60000
MRM 10,10,4,4.3,550,550,2,3,475,340,2.33,2.5,0.78,0.93,0.11,7.5,
MRM 20,20,6,4.3,550,550,3,7,475,340,4.65,3.33,0.66,1.4,0.11,10,
MRM 30,30,9.5,4.3,550,550,5,10,475,340,6.98,3.16,0.7,2.21,0.11,12.5,
MRM 40,40,11.5,4.75,550,550,7,12,475,340,8.42,3.48,0.7,2.42,0.11,15,
ROCKET LAUNCHER 10,20,3,1,50 - 540,540,1,0.5,400,0,20,6.67,40,3,0.11,7.5,
ROCKET LAUNCHER 15,30,4,1,50 - 450,450,2,1,400,0,30,7.5,30,4,0.11,7.5,
ROCKET LAUNCHER 20,40,5,1,50 - 360,360,3,1.5,400,0,40,8,26.67,5,0.11,7.5,
SRM 2 + ARTEMIS,4.3,1.6,2,270,270,2,2,400,120,2.15,2.69,1.08,0.8,0.11,7.5,120000
SRM 2,4.3,1.6,2,270,270,1,1,400,120,2.15,2.69,2.15,0.8,0.11,7.5,20000
SRM 4 + ARTEMIS,8.6,3,3,270,270,2,3,400,120,2.87,2.87,0.96,1,0.11,7.5,220000
SRM 4,8.6,3,3,270,270,1,2,400,120,2.87,2.87,1.43,1,0.11,7.5,120000
SRM 6 + ARTEMIS,12.9,3.75,3.75,270,270,3,4,400,120,3.44,3.44,0.86,1,0.11,10,260000
SRM 6,12.9,3.75,3.75,270,270,2,3,400,120,3.44,3.44,1.15,1,0.11,10,160000
STREAK SRM 2,4,1.6,2,270,270,1,1.5,280,120,2,2.5,1.33,0.8,0.04,7.5,30000
STREAK SRM 4,8,3,3,270,270,1,3,280,120,2.67,2.67,0.89,1,0.04,7.5,
STREAK SRM 6,12,3.75,3.75,270,270,2,4.5,280,120,3.2,3.2,0.71,1,0.04,10,
